Designator,Mid X,Mid Y,Rotation,Layer
D59,147.0,-113.0,90.0,top
D6,152.0,-56.0,90.0,top
D60,166.0,-113.0,90.0,top
D61,185.0,-113.05,90.0,top
D62,204.0,-112.95,90.0,top
D63,224.0,-113.0,90.0,top
D64,243.0,-113.05,90.0,top
D65,262.0,-113.0,90.0,top
D66,281.0,-113.0,90.0,top
D67,313.0,-112.95,90.0,top
D68,343.0,-113.0,90.0,top
D69,362.0,-113.0,90.0,top
D7,171.0,-56.0,90.0,top
D70,381.0,-113.0,90.0,top
D71,400.0,-103.0,90.0,top
D72,69.0,-132.0,90.0,top
D73,100.0,-131.95,90.0,top
D74,119.0,-131.95,90.0,top
D75,138.0,-131.95,90.0,top
D76,157.0,-132.05,90.0,top
D77,176.0,-132.0,90.0,top
D78,195.0,-132.0,90.0,top
D79,214.0,-132.0,90.0,top
D8,190.0,-56.0,90.0,top
D80,233.0,-132.0,90.0,top
D81,252.0,-131.95,90.0,top
D82,271.0,-131.95,90.0,top
D83,297.0,-131.95,90.0,top
D84,324.0,-132.0,90.0,top
D85,343.0,-132.0,90.0,top
D86,362.0,-132.0,90.0,top
D87,381.0,-132.0,90.0,top
D88,59.0,-151.0,90.0,top
D89,83.0,-151.05,90.0,top
D9,209.0,-56.0,90.0,top
D90,107.0,-151.05,90.0,top
D91,177.0,-151.0,90.0,top
D92,248.0,-151.05,90.0,top
D93,266.0,-151.0,90.0,top
D94,285.0,-151.0,90.0,top
D95,305.0,-151.05,90.0,top
D96,323.0,-151.0,90.0,top
D97,343.0,-151.0,90.0,top
D98,362.0,-151.0,90.0,top
D99,381.0,-150.95,90.0,top
J1,32.9875,5.8,270.0,bottom
J2,43.075,13.7,180.0,bottom
J3,433.07,-152.0,90.0,top
J4,433.05,-80.0,90.0,top
M1,127.715556,-17.0,270.0,bottom
M10,315.315556,-17.0,270.0,bottom
M2,148.56,-17.0,270.0,bottom
M3,169.404445,-17.0,270.0,bottom
M4,190.248889,-17.0,270.0,bottom
M5,211.093334,-17.0,270.0,bottom
M6,231.937778,-17.0,270.0,bottom
M7,252.782223,-17.0,270.0,bottom
M8,273.626667,-17.0,270.0,bottom
M9,294.471112,-17.0,270.0,bottom
R1,83.49,-22.5,0.0,top
R10,66.49,-57.0,180.0,top
R100,238.09,-152.0,180.0,top
R101,257.29,-152.0,180.0,top
R102,275.09,-152.0,180.0,top
R103,295.49,-152.0,180.0,top
R104,314.31,-152.0,180.0,top
R105,333.29,-152.0,180.0,top
R106,352.29,-152.0,180.0,top
R107,371.09,-152.0,180.0,top
R108,390.09,-142.0,180.0,top
R109,432.9,-54.4,0.0,top
R11,85.09,-57.0,180.0,top
R110,432.9,-67.0,0.0,top
R12,103.89,-57.0,180.0,top
R13,123.09,-57.0,180.0,top
R14,141.8,-57.0,180.0,top
R15,160.89,-57.02,180.0,top
R16,180.09,-57.02,180.0,top
R17,198.8,-57.0,180.0,top
R18,217.69,-57.0,180.0,top
R19,236.51,-57.0,180.0,top
R2,59.09,-38.1,180.0,top
R20,255.51,-57.0,180.0,top
R21,275.29,-57.0,180.0,top
R22,294.69,-57.0,180.0,top
R23,313.89,-57.0,180.0,top
R24,332.69,-57.0,180.0,top
R25,351.69,-57.0,180.0,top
R26,370.89,-57.0,180.0,top
R27,389.69,-57.0,180.0,top
R28,46.6,-76.0,180.0,top
R29,66.4,-76.0,180.0,top
R3,60.65,-27.5,0.0,top
R30,85.29,-76.0,180.0,top
R31,104.49,-76.0,180.0,top
R32,123.31,-76.0,180.0,top
R33,142.2,-76.0,180.0,top
R34,160.69,-76.0,180.0,top
R35,180.29,-76.0,180.0,top
R36,199.29,-76.0,180.0,top
R37,219.09,-76.0,180.0,top
R38,237.09,-76.0,180.0,top
R39,256.0,-76.0,180.0,top
R4,60.64,-26.5,0.0,top
R40,276.4,-76.0,180.0,top
R41,305.09,-76.0,180.0,top
R42,333.2,-76.0,180.0,top
R43,352.2,-76.0,180.0,top
R44,371.09,-76.0,180.0,top
R45,389.4,-76.0,180.0,top
R46,52.0,-95.0,180.0,top
R47,76.29,-95.0,180.0,top
R48,95.49,-95.0,180.0,top
R49,113.91,-95.0,180.0,top
R5,44.85,6.44,270.0,top
R50,133.0,-95.0,180.0,top
R51,151.91,-95.0,180.0,top
R52,170.2,-95.0,180.0,top
R53,189.49,-95.0,180.0,top
R54,209.6,-95.0,180.0,top
R55,228.6,-95.0,180.0,top
R56,247.51,-95.0,180.0,top
R57,266.29,-95.0,180.0,top
R58,285.29,-95.0,180.0,top
R59,309.29,-95.0,180.0,top
R6,41.1,6.575,270.0,top
R60,333.69,-95.0,180.0,top
R61,351.89,-95.0,180.0,top
R62,370.8,-95.0,180.0,top
R63,54.49,-114.0,180.0,top
R64,80.4,-114.0,180.0,top
R65,99.4,-114.0,180.0,top
R66,118.49,-114.0,180.0,top
R67,137.49,-114.0,180.0,top
R68,156.49,-114.0,180.0,top
R69,175.49,-114.0,180.0,top
R7,63.49,-36.0,0.0,top
R70,194.49,-114.0,180.0,top
R71,213.49,-114.0,180.0,top
R72,232.2,-114.0,180.0,top
R73,251.31,-114.0,180.0,top
R74,271.49,-114.0,180.0,top
R75,303.29,-114.0,180.0,top
R76,333.49,-114.0,180.0,top
R77,351.89,-114.0,180.0,top
R78,371.29,-114.0,180.0,top
R79,390.49,-105.0,180.0,top
R8,65.49,-36.0,180.0,top
R80,59.51,-133.0,180.0,top
R81,90.29,-133.0,180.0,top
R82,109.49,-133.0,180.0,top
R83,128.29,-133.0,180.0,top
R84,147.49,-133.0,180.0,top
R85,166.69,-133.0,180.0,top
R86,185.4,-133.0,180.0,top
R87,204.6,-133.0,180.0,top
R88,223.49,-133.0,180.0,top
R89,242.2,-133.0,180.0,top
R9,47.49,-57.0,180.0,top
R90,261.31,-133.0,180.0,top
R91,287.49,-133.0,180.0,top
R92,314.29,-133.0,180.0,top
R93,332.49,-133.0,180.0,top
R94,351.49,-133.0,180.0,top
R95,371.29,-133.0,180.0,top
R96,49.09,-152.0,180.0,top
R97,74.09,-152.2,180.0,top
R98,97.29,-152.0,180.0,top
R99,166.89,-152.0,180.0,top
S1,37.0,-33.125,180.0,top
SW1,50.0,-50.0,0.0,bottom
SW10,221.45,-50.0,0.0,bottom
SW100,392.9,-135.725,0.0,bottom
SW101,429.254,-35.4,90.0,top
SW11,240.5,-50.0,0.0,bottom
SW12,259.55,-50.0,0.0,bottom
SW13,278.6,-50.0,0.0,bottom
SW14,297.65,-50.0,0.0,bottom
SW15,316.7,-50.0,0.0,bottom
SW16,335.75,-50.0,0.0,bottom
SW17,354.8,-50.0,0.0,bottom
SW18,373.85,-50.0,0.0,bottom
SW19,392.9,-50.0,0.0,bottom
SW2,69.05,-50.0,0.0,bottom
SW20,50.0,-69.05,0.0,bottom
SW21,69.05,-69.05,0.0,bottom
SW22,88.1,-69.05,0.0,bottom
SW23,107.15,-69.05,0.0,bottom
SW24,126.2,-69.05,0.0,bottom
SW25,145.25,-69.05,0.0,bottom
SW26,164.3,-69.05,0.0,bottom
SW27,183.35,-69.05,0.0,bottom
SW28,202.4,-69.05,0.0,bottom
SW29,221.45,-69.05,0.0,bottom
SW3,88.1,-50.0,0.0,bottom
SW30,240.5,-69.05,0.0,bottom
SW31,259.55,-69.05,0.0,bottom
SW32,278.6,-69.05,0.0,bottom
SW33,307.175,-69.05,0.0,bottom
SW34,335.75,-69.05,0.0,bottom
SW35,354.8,-69.05,0.0,bottom
SW36,373.85,-69.05,0.0,bottom
SW37,392.9,-69.05,0.0,bottom
SW38,54.7625,-88.1,0.0,bottom
SW39,78.575,-88.1,0.0,bottom
SW4,107.15,-50.0,0.0,bottom
SW40,97.625,-88.1,0.0,bottom
SW41,116.675,-88.1,0.0,bottom
SW42,135.725,-88.1,0.0,bottom
SW43,154.775,-88.1,0.0,bottom
SW44,173.825,-88.1,0.0,bottom
SW45,192.875,-88.1,0.0,bottom
SW46,211.925,-88.1,0.0,bottom
SW47,230.975,-88.1,0.0,bottom
SW48,250.025,-88.1,0.0,bottom
SW49,269.075,-88.1,0.0,bottom
SW5,126.2,-50.0,0.0,bottom
SW50,288.125,-88.1,0.0,bottom
SW51,311.9375,-88.1,0.0,bottom
SW52,335.75,-88.1,0.0,bottom
SW53,354.8,-88.1,0.0,bottom
SW54,373.85,-88.1,0.0,bottom
SW55,57.14375,-107.15,0.0,bottom
SW56,83.3375,-107.15,0.0,bottom
SW57,102.3875,-107.15,0.0,bottom
SW58,121.4375,-107.15,0.0,bottom
SW59,140.4875,-107.15,0.0,bottom
SW6,145.25,-50.0,0.0,bottom
SW60,159.5375,-107.15,0.0,bottom
SW61,178.5875,-107.15,0.0,bottom
SW62,197.6375,-107.15,0.0,bottom
SW63,216.6875,-107.15,0.0,bottom
SW64,235.7375,-107.15,0.0,bottom
SW65,254.7875,-107.15,0.0,bottom
SW66,273.8375,-107.15,0.0,bottom
SW67,305.86055,-107.15,0.0,bottom
SW68,335.75,-107.15,0.0,bottom
SW69,354.8,-107.15,0.0,bottom
SW7,164.3,-50.0,0.0,bottom
SW70,373.85,-107.15,0.0,bottom
SW71,392.9,-97.625,0.0,bottom
SW72,61.906,-126.2,0.0,bottom
SW73,92.8625,-126.2,0.0,bottom
SW74,111.9125,-126.2,0.0,bottom
SW75,130.9625,-126.2,0.0,bottom
SW76,150.0125,-126.2,0.0,bottom
SW77,169.0625,-126.2,0.0,bottom
SW78,188.1125,-126.2,0.0,bottom
SW79,207.1625,-126.2,0.0,bottom
SW8,183.35,-50.0,0.0,bottom
SW80,226.2125,-126.2,0.0,bottom
SW81,245.2625,-126.2,0.0,bottom
SW82,264.3125,-126.2,0.0,bottom
SW83,290.50625,-126.2,0.0,bottom
SW84,316.7,-126.2,0.0,bottom
SW85,335.75,-126.2,0.0,bottom
SW86,354.8,-126.2,0.0,bottom
SW87,373.85,-126.2,0.0,bottom
SW88,52.38125,-145.25,0.0,bottom
SW89,76.19375,-145.25,0.0,bottom
SW9,202.4,-50.0,0.0,bottom
SW90,100.00625,-145.25,0.0,bottom
SW91,170.2535,-145.25,0.0,bottom
SW92,240.5,-145.25,0.0,bottom
SW93,259.55,-145.25,0.0,bottom
SW94,278.6,-145.25,0.0,bottom
SW95,297.65,-145.25,0.0,bottom
SW96,316.7,-145.25,0.0,bottom
SW97,335.75,-145.25,0.0,bottom
SW98,354.8,-145.25,0.0,bottom
SW99,373.85,-145.25,0.0,bottom
U1,66.2,-28.2,180.0,top
U2,44.6,-33.0,90.0,top
U3,55.385,-34.5,180.0,top
U4,85.15,-20.0,270.0,top
U5,150.0375,-29.85,90.0,top
U6,364.4625,-29.45,90.0,top
U7,33.0,-39.0,270.0,top
